,review,game,overall_score,genre,reviewer_id
1,"Either playing solo, with friends or against them, Shogun 2 is the pinnacle of the Total War series.",Total War: Shogun 2,100.0,Strategy,138
2,"This is how you pay homage to a brilliant game that started a franchise, and I wouldn't be upset after seeing what the developer has done here if we saw remakes of Rome or even another Medieval Total War.",Total War: Shogun 2,100.0,Strategy,138
3,The series has scaled down from Empire but lost none of the drama or excitement.,Total War: Shogun 2,100.0,Strategy,139
4,The smaller scale makes it easier to appreciate all the things the game does right.,Total War: Shogun 2,100.0,Strategy,139
5,"A polished, smart, generous, elegant, and bold strategy game.",Total War: Shogun 2,100.0,Strategy,140
6,"From atop this Total War: Shogun 2, eleven years of experience are looking right at you.",Total War: Shogun 2,100.0,Strategy,141
7,"The gameplay The Creative Assembly crafted for this new title is breathtakingly rich, almost intimidating, but fans will still feel right at home since the new elements aren't plenty.",Total War: Shogun 2,100.0,Strategy,141
8,"For newcomers, the challenge can be hard to overcome because the ruleset of the game isn't very well explained, but Shogun 2 also becomes, because of this, an adventure that is all the more satisfying to conquer.",Total War: Shogun 2,100.0,Strategy,141
9,Metacritic.,Total War: Shogun 2,100.0,Strategy,141
10,"Total War may be one of the more complex series out there, and in the past there have been many reasons to avoid it-- mainly stemming from the fact that at times it could feel unapproachable through simply the amount of choices given.",Total War: Shogun 2,96.0,Strategy,142
11,"The hardcore have always had it as a staple to call home, but this time around it feels as if everything finally met in exactly the right spots, and enough assistance that anyone can get into it if they want.",Total War: Shogun 2,96.0,Strategy,142
12,Less truly is more when it comes to Total War.,Total War: Shogun 2,95.0,Strategy,143
13,"Shogun 2, with a smaller scale and tighter focus, boasts the best gameplay and design of any entry in the franchise.",Total War: Shogun 2,95.0,Strategy,143
14,I can't imagine a realistic way that The Creative Assembly could have made a better case to win back fans put off by Empire.,Total War: Shogun 2,95.0,Strategy,143
15,"[Apr 2011, p.92]",Total War: Shogun 2,95.0,Strategy,143
16,"The mix of turn based strategy (with economical, political and diplomatic ramifications) and real time battles is still wonderful, but the need to balance timing and aggression is more important than ever.",Total War: Shogun 2,93.0,Strategy,144
17,"Aggressive players will feel a little cheated, while diplomats will hate Realm Divide stage.",Total War: Shogun 2,93.0,Strategy,144
18,"Still, Total War was always about realism and the AI's scripted actions make logical and historical sense.",Total War: Shogun 2,93.0,Strategy,144
19,"While it stuck to what Empire: Total War did and didn't come up with a lot of new things, it was still a lot of fun to play.",Total War: Shogun 2,93.0,Strategy,145
20,"If you have the dough, you should pick this up.",Total War: Shogun 2,93.0,Strategy,145
21,"In conclusion, Total War Shogun 2 is definitely a must have game for those who enjoy turn-based games, RTS or the original Total War games.",Total War: Shogun 2,93.0,Strategy,146
22,"It's huge improvement over its predecessors and from the very first moments of the game to the last battle of Kyoto, you will be captivated and wanting more.",Total War: Shogun 2,93.0,Strategy,146
23,Best Total War Ever.,Total War: Shogun 2,93.0,Strategy,147
24,That should say enough about how great a game this is.,Total War: Shogun 2,93.0,Strategy,147
25,"It's incredibly deep, complex and magnificent to look at.",Total War: Shogun 2,93.0,Strategy,147
26,"Still, take into consideration that it's not exactly the most accessible strategy game around, and that you need a ballsy computer to enjoy the game to its fullest.",Total War: Shogun 2,93.0,Strategy,147
27,A great return for one of the greatest strategy series ever made.,Total War: Shogun 2,93.0,Strategy,147
28,Bravo The Creative Assembly.,Total War: Shogun 2,93.0,Strategy,147
29,"Shogun II is a great game, able to resume, improve and innovate many of the aspects that made the franchise one of the most appreciated in the world of real-time strategy games.",Total War: Shogun 2,92.0,Strategy,148
30,"The only true failure is an artificial intelligence that doesn't always impress, but somehow this aspect is compensated for by a much deeper multiplayer component.",Total War: Shogun 2,92.0,Strategy,148
31,"It's a tighter, more focused experience than the continental sprawl of ""Empire"" and ""Napoleon"", sacrifices none of their intricacy, and brings improved AI to the battlefield.",Total War: Shogun 2,92.0,Strategy,149
32,"In the final count, it's consistently thrilling, grand in scope, surprisingly atmospheric, and bloody hard to put down.",Total War: Shogun 2,92.0,Strategy,149
33,"[Mar 2011, p.75]",Total War: Shogun 2,92.0,Strategy,149
34,"With Total War: Shogun 2, Creative Assembly has gone back all the way to its Japanese roots, and as you can see it was not a mistake.",Total War: Shogun 2,91.0,Strategy,150
35,More of a masterpiece than check-in for the series.,Total War: Shogun 2,91.0,Strategy,151
36,"It's the finest Total War game CA has ever made, with a beautifully focused campaign and involving multiplayer too.",Total War: Shogun 2,91.0,Strategy,152
37,"[Apr 2011, p.94]",Total War: Shogun 2,91.0,Strategy,152
38,"This is a wonderful strategy game, one of the best we've ever seen.",Total War: Shogun 2,91.0,Strategy,153
39,A logical evolution of the concept of the veteran series that has achieved great results.,Total War: Shogun 2,91.0,Strategy,153
