,review,game,overall_score,genre,reviewer_id
412,ANNO 2070 is the perfect game for everyone who loves to tweak an economy and build large scale cities.,Anno 2070,93.0,Strategy,668
413,Especially the endgame is really complex with many things to do.,Anno 2070,93.0,Strategy,668
414,A must have for every ANNO-Player.,Anno 2070,93.0,Strategy,668
415,A significantly more accessible setting makes this latest Anno a must play for all city management fans.,Anno 2070,90.0,Strategy,669
416,"[March 2012, p.52]",Anno 2070,90.0,Strategy,669
417,Anno 2070 pushes the series to incredible highs and is amongst the best in its genre.,Anno 2070,90.0,Strategy,670
418,"The easy to learn controls and rules, new online options and the way you can build while preserving nature all make this the best strategy game of 2011.",Anno 2070,90.0,Strategy,670
419,"Glancing 60 years into the future and learning from old mistakes, Related Designs made a masterpiece!",Anno 2070,90.0,Strategy,671
420,"[January 2012, p.65]",Anno 2070,90.0,Strategy,671
421,"The developers have succeeded in creating a game faithful to the tradition and at the same time a game full of new elements and mechanics, that make it feel fresh.",Anno 2070,90.0,Strategy,672
422,"All that, plus a great campaign and a variety of multiplayer options make Anno 2070 an excellent game and even some technical issues can't change that.",Anno 2070,90.0,Strategy,672
423,"It's about expansion, trading, economics, boats, and staring at a lot of awfully pretty sci-fi buildings while you do so... which, frankly, is more than an enough for me.",Anno 2070,90.0,Strategy,673
424,"Thanks to its amazing world of possibilities, deep gameplay mechanics and engaging progression, Anno 2070 proves to be a top class sim-RTS destined to entertain any fan of the genre for a very long time.",Anno 2070,90.0,Strategy,674
425,"While it may bewilder players new to the genre with the sheer complexity of it all, Anno 2070 succeeds at giving the decade-old series a fantastic makeover.",Anno 2070,90.0,Strategy,675
426,Quotation forthcoming.,Anno 2070,90.0,Strategy,676
427,Ubisoft made a great decision in taking the Anno franchise to the future.,Anno 2070,90.0,Strategy,677
428,"Trading, building, doing quests, there is a ton of stuff to do.",Anno 2070,90.0,Strategy,677
429,It's very interesting to see the environment play a big role and the effects of polution add a great new gameplay concept.,Anno 2070,90.0,Strategy,677
430,Anno 2070 really is all about building and trading and won't be fulfilling for people that are looking to rage war.,Anno 2070,90.0,Strategy,677
431,A rich game with tons of content.,Anno 2070,89.0,Strategy,678
432,Anno 2070 is one of the best iterations in the series.,Anno 2070,89.0,Strategy,678
433,Blue Byte has built another great game.,Anno 2070,89.0,Strategy,678
434,"Even so, Anno 2070 is one of the best titles released in 2011 and without equal when compared to other games in the genre.",Anno 2070,88.0,Strategy,679
435,"The three defining elements of the series (alongside the almost infinite replay value) – urban planning, commercial routes and opponent interaction – are now more complex.",Anno 2070,88.0,Strategy,679
436,The newest iteration of the Anno series builds successfully on the previous Anno games.,Anno 2070,87.0,Strategy,680
437,Setting Anno 2070 in the future gives the game a whole new angle.,Anno 2070,87.0,Strategy,680
438,"Managing the economy and mastering trade and diplomacy are of course vital, but it is the Waterworld-esque setting that distinguishes Anno 2070 from its competitors.",Anno 2070,87.0,Strategy,680
439,Will you go green and use renewable energy?,Anno 2070,87.0,Strategy,680
440,Or do whatever it takes to generate enough energy for your colony – even if it means polluting your surroundings?,Anno 2070,87.0,Strategy,680
441,[Jan 2012],Anno 2070,87.0,Strategy,680
442,"Anno 2070 is a game for the slow-paced, economy-driven game fans.",Anno 2070,87.0,Strategy,681
443,It packages a beautiful game of capitalistic supremacy with radiant graphics and an interface that has been tried and tested over the years.,Anno 2070,87.0,Strategy,681
444,"Yet with the introduction of the underseas empires and combat, it attempts to branch out and make a name for itself in the series, and for the most part it succeeds on all counts.",Anno 2070,87.0,Strategy,681
445,Anno 2070 is a top class sim-RTS game.,Anno 2070,87.0,Strategy,682
446,A must have for every Anno Fan.,Anno 2070,87.0,Strategy,682
447,"It's a fantastic, addictive economic strategy at its best that you have to try.",Anno 2070,85.0,Strategy,683
448,Pefect for long winter evenings.,Anno 2070,85.0,Strategy,683
449,"[January 2012, p.50]",Anno 2070,85.0,Strategy,683
450,The sci-fi city building of Anno 2070 is a fresh take on a familiar genre.,Anno 2070,85.0,Strategy,684
451,"Expect to get hooked, and stay hooked.",Anno 2070,85.0,Strategy,684
452,"Anno 2070 achieves a great futuristic atmosphere, and this is a great reason to introduce many new features that make the game fresh, like the introduction of factions or the renewed multiplayer mode.",Anno 2070,85.0,Strategy,685
453,A great new entry in the Anno series.,Anno 2070,85.0,Strategy,685
454,"Sure, I was lured in by Anno 2070's good looks, but its brains and depth that make this one a real beauty.",Anno 2070,85.0,Strategy,686
455,She's a keeper.,Anno 2070,85.0,Strategy,686
456,"Regardless of the validity of pushing Anno away from a historical setting, Anno 2070 once again proves that the real-time strategy genre is alive and well, and should be considered seriously by any armchair dictator with a lot of spare time.",Anno 2070,85.0,Strategy,687
457,"Putting aside minor hindrances, the game is a pleasant revival of the legendary franchise, displaying high replayability, relative to recent games.",Anno 2070,84.0,Strategy,688
458,[February 2012],Anno 2070,84.0,Strategy,688
459,Jump to the future paid off to the developers.,Anno 2070,80.0,Strategy,689
460,The result of their work is diverse and beautiful simulation-building strategy with a strong focus on ecology.,Anno 2070,80.0,Strategy,689
461,[Christmas 2011],Anno 2070,80.0,Strategy,689
462,Anno 2070 is a pleasantly exceptional direction of the series.,Anno 2070,80.0,Strategy,690
463,"In spite of the fact that it changes the style drastically, it doesn't redo the well-known mechanics; it tunes them up to perfection.",Anno 2070,80.0,Strategy,690
464,"Newcomers might only be discouraged by its higher difficulty, but believe me when I say it's worth it.",Anno 2070,80.0,Strategy,690
465,"Anno takes it to the future with a game beautifully crafted that offers immense depth, great graphics and the Anno gameplay we know and love.",Anno 2070,80.0,Strategy,691
466,"Going green has never been so entertaining, with the only game this Christmas where brain not brawn will save the world.",Anno 2070,80.0,Strategy,692
467,"Anno 2070 is a new and attractive offer for fans of the genre, as it is a clear successor of Anno 1404.",Anno 2070,80.0,Strategy,693
468,"But Blue Byte's work still suffers the same defects as always: oversimplification of commercial, diplomatic and military elements.",Anno 2070,80.0,Strategy,693
469,"However, this is a high quality title and a perfect choice if you liked any of the Anno series titles.",Anno 2070,80.0,Strategy,693
470,"You should not hesitate to colonize the futuristic version of a these great games, although you're not a science fiction fan.",Anno 2070,80.0,Strategy,693
471,"And if you've never gone through any Anno-game, you will have a good opportunity to jump into the genre.",Anno 2070,80.0,Strategy,693
472,"Anno 2070 was expected to take itself very seriously, but the way it deals with the eco theme is caricatural.",Anno 2070,80.0,Strategy,694
473,Too bad.,Anno 2070,80.0,Strategy,694
474,"However, the anticipation background remains refreshing for the series, and the gameplay keeps everything the fans liked.",Anno 2070,80.0,Strategy,694
475,"Blue Byte doesn't change the formula, but adds a couple layers of richness to the content (three factions, scientific research, community bonus).",Anno 2070,80.0,Strategy,694
476,Only the combats would gain by being completely re-thought.,Anno 2070,80.0,Strategy,694
477,"For the strategy gamers who love base-building rather than raiding and for the keen traders who want to settle down and establish a port and a merchant navy, I can imagine little better: Anno strikes a very interesting balance that you won't find elsewhere, and it should provide a lot of gameplay hours.",Anno 2070,79.0,Strategy,695
